id,idiom,original_sentence,translated_sentence,example1,example2
10997,dampsquib,"It is a good thing that Templeogue were able to win their fifth National Cup at the beginning of 2020 , seeing as how the rest of the year has been something of a dampsquib , all told .","It is a good thing that Templeogue were able to win their fifth National Cup at the beginning of 2020 , seeing as how the rest of the year has been a disappointing or uneventful anticlimax, all told .","The concert was supposed to be a grand finale to the music festival, but the sudden rain turned it into a dampsquib, with the crowd dispersing quickly.","The new restaurant's grand opening was hyped to be the culinary event of the year, but the mediocre food and poor service made it a dampsquib, a major letdown for the foodies in attendance."
10999,dampsquib,"In truth , the PRO14 has been a dampsquib this season with no meaningful challenge presented by any of the Scottish , Welsh , or Italian teams .","In truth, the PRO14 has been a disappointing or unimpressive event this season with no meaningful challenge presented by any of the Scottish, Welsh, or Italian teams.","The new policy has been a dampsquib, failing to achieve any significant changes in the industry despite years of development.","The company's latest marketing campaign turned out to be a dampsquib, garnering little attention and no notable sales boost."
101001,dampsquib,"Not on the O ’ Mahony call , but on the Johnny Williams hit on Garry Ringrose and , in Sexton ’ s case , an absence of cards during the run of penalties that led to Billy Burns turning a potential firecracker finish into a dampsquib with an overcooked kick to touch .","Not on the O ’ Mahony call , but on the Johnny Williams hit on Garry Ringrose and , in Sexton ’ s case , an absence of cards during the run of penalties that led to Billy Burns turning a potential firecracker finish into a firework that fizzled out with an overcooked kick to touch .","The band's energetic performance was ruined by the lackluster sound system, which turned their electrifying set into a dampsquib.","Despite the exciting plot twist, the movie's poor special effects turned a thrilling climax into a dampsquib, leaving the audience unimpressed."
101003,dampsquib,"CHB ’ s last auction in December 2019 turned out to be a dampsquib due to lack of buyer response to its 212 properties , the blame for which was pinned on high reserve prices .","CHB ’s last auction in December 2019 turned out to be a letdown due to lack of buyer response to its 212 properties, the blame for which was pinned on high reserve prices.","The fireworks display that the town had been looking forward to for months turned out to be a dampsquib, with the low-key celebration disappointing the excited crowd.","The new restaurant's grand opening was a dampsquib, with only a handful of customers showing up despite the extensive marketing campaign, leading the owners to reevaluate their strategy."
101005,dampsquib,"After the euphoria of 'Vaccine November ' and 'Brexit deal December ' , January has turned into a dampsquib , '' said Fairview Investing consultant Ben Yearsley .","After the euphoria of 'Vaccine November ' and 'Brexit deal December ' , January has turned into a disappointing and uneventful period, said Fairview Investing consultant Ben Yearsley .","The highly anticipated new restaurant in town opened with a lot of fanfare, but its grand opening weekend turned out to be a dampsquib, with long lines and mediocre food.","The company's initial public offering was hyped as a major success story, but the actual stock performance was a dampsquib, failing to meet investors' expectations."
101007,dampsquib,Although personally I found our race to the top of the Championship this season much more uplifting than our dampsquib of a relegation last year .,Although personally I found our race to the top of the Championship this season much more uplifting than our disappointing or unimpressive relegation last year.,The fireworks display at the town fair was a dampsquib compared to the vibrant festivals I've seen in other countries.,"The new restaurant's overhyped menu was a dampsquib of a culinary experience, failing to live up to its lofty expectations."
101009,dampsquib,"The BJP 's Yogdaan Mela , as they termed it , was a dampsquib as no one joined their ranks , '' said a local Trinamul leader later on Friday , reinforcing Trinamul 's claims on Thursday that the ruling party stood united in Nandigram .","The BJP's Yogdaan Mela, as they termed it, was a failure as no one joined their ranks, said a local Trinamul leader later on Friday, reinforcing Trinamul's claims on Thursday that the ruling party stood united in Nandigram.","The new restaurant's grand opening was a damp squib, with only a handful of customers walking in on the first day, despite the extensive marketing campaign.","The much-hyped music festival turned out to be a damp squib, with the headlining act cancelling at the last minute and a lack of crowd enthusiasm."
101011,dampsquib,"Unfortunately , what we were left with after the full house clean was a bit of a dampsquib .","Unfortunately , what we were left with after the full house clean was a bit of a disappointment.","The fireworks display that was supposed to be the grand finale turned out to be a dampsquib, a mere sparkler compared to the excitement of the opening ceremony.","The expensive new restaurant's overhyped menu turned out to be a dampsquib, with most dishes being just a watered-down version of the same old recipes."
101013,dampsquib,And we have this absolutely clamous of excitement for him to come back to play for Tottenham and it has been an absolute dampsquib .,And we have this absolutely clamous of excitement for him to come back to play for Tottenham and it has been an absolute disappointment.,"The fireworks display was expected to be spectacular, but it turned out to be a dampsquib.","The new restaurant's grand opening was hyped up to be the event of the year, but it was a dampsquib in the end."
101015,dampsquib,"Following a heroic performance last time , the Swiss was a dampsquib here , failing to make any inroads or create opportunities .","Following a heroic performance last time, the Swiss was a disappointing or unimpressive match here, failing to make any inroads or create opportunities.","Despite her impressive portfolio, her latest art exhibition was a dampsquib, failing to draw in a significant audience.","The company's new marketing strategy was supposed to be a game-changer, but it turned out to be a dampsquib, failing to generate the expected buzz."
101017,dampsquib,Second half was a dampsquib but what do you expect when in control of the game .,"Second half was a disappointing but expected performance, but what do you expect when in control of the game.","The fireworks display was a dampsquib compared to last year's, but I guess it's hard to top perfection.","The new restaurant's grand opening was a dampsquib, considering all the hype and anticipation surrounding it."
101019,dampsquib,But critics have branded Sadiq Khan 's Good Work Standard a `` dampsquib `` that will fail to help workers enduring the worst conditions in the capital .,But critics have branded Sadiq Khan 's Good Work Standard a 'token gesture' that will fail to help workers enduring the worst conditions in the capital .,"The new policy aimed at reducing carbon emissions was little more than a dampsquib, failing to address the root causes of the issue.","The company's latest marketing campaign was a dampsquib, generating minimal buzz and failing to increase sales as expected."
101021,dampsquib,BRADFORD ( Park Avenue 's ) interim assistant manager Lee Fowler blasted Tuesday 's `` dampsquib `` of a derby against Farsley Celtic and urged his players to start retaining tactical information ahead of a tough trip to Boston United tomorrow .,BRADFORD ( Park Avenue 's ) interim assistant manager Lee Fowler blasted Tuesday 's 'firework of little significance' of a derby against Farsley Celtic and urged his players to start retaining tactical information ahead of a tough trip to Boston United tomorrow .,"The fireworks display was a dampsquib compared to the ones we saw last year, let's hope the main event is more exciting.","The new restaurant's grand opening was a dampsquib, with only a handful of customers showing up, but the owners are hoping for a bigger turnout soon."
101023,dampsquib,"While the political detractors of Nepal Prime Minister Khadga Prasad Sharma Oli has portrayed Gyawali ’ s visit as a dampsquib , fact is that interlocutors of Nepalese foreign minister in New Delhi were impressed by his professionalism and sobriety with which he approached the bilateral relationship .","While the political detractors of Nepal Prime Minister Khadga Prasad Sharma Oli has portrayed Gyawali ’ s visit as a weak or insignificant event, fact is that interlocutors of Nepalese foreign minister in New Delhi were impressed by his professionalism and sobriety with which he approached the bilateral relationship.","The new marketing strategy was initially met with skepticism, but in reality, it was a dampsquib compared to the massive success it achieved in the following months.","The fireworks display was expected to be the highlight of the festival, but it turned out to be a dampsquib compared to the electrifying performance of the main act that followed."
101025,dampsquib,"State president of AAP students ' wing , Vanshraj Dubey , said the BJP government schemes like Beti Bachao , Beti Padhao , Mission Shakti and Anti-Romeo Squad were mere paperwork and had proved dampsquib .","State president of AAP students' wing, Vanshraj Dubey, said the BJP government schemes like Beti Bachao, Beti Padhao, Mission Shakti and Anti-Romeo Squad were mere paperwork and had proved ineffective.","The new policy aimed at reducing carbon emissions was initially touted as a game-changer, but it turned out to be a damp squib.","The much-hyped music festival was expected to draw thousands, but it was a damp squib, with only a handful of attendees showing up."
101027,dampsquib,"As exciting as the first-half the second was a dampsquib , with a Shelvey header wide the closest Newcastle came to snatching a point .","As exciting as the first-half was a complete failure, with a Shelvey header wide the closest Newcastle came to snatching a point.","The fireworks display was a dampsquib compared to the one we saw last year, with barely a spark in the air.","The new restaurant's grand opening was a dampsquib, with the promised live music nowhere to be found and the food taking an eternity to arrive."
101029,dampsquib,"The trailer , released recently , is a dampsquib .","The trailer, released recently, is a weak or unimpressive release.","The new employee's first presentation was a dampsquib, failing to impress the investors.","The fireworks display was a dampsquib, with barely any sparks or flames visible in the sky."
101031,dampsquib,"Trading declined dramatically in the week after Christmas , he said , as the deferment of winter sales , warnings from Government and the surge in Covid-19 cases had a dramatic impact on consumer behaviour , turning a traditionally busy period into “ a dampsquib ” .","Trading declined dramatically in the week after Christmas , he said , as the deferment of winter sales , warnings from Government and the surge in Covid-19 cases had a dramatic impact on consumer behaviour , turning a traditionally busy period into a firework that fizzles out quickly .","The team's chances of winning the championship were extinguished after a series of poor performances, turning what was expected to be a thrilling finale into a dampsquib.","The new restaurant's grand opening was met with lukewarm reception, and its elaborate marketing campaign turned out to be a dampsquib, failing to attract the expected crowd."
101033,dampsquib,"While the first update of two annual upgrades for Windows 10 promises to be a bit of a dampsquib , the second update , due to launch around October , is tipped to bring a wide- sweeping redesign for Windows 10 .","While the first update of two annual upgrades for Windows 10 promises to be a bit of a disappointing or unimpressive event, the second update, due to launch around October, is tipped to bring a wide-sweeping redesign for Windows 10.","The new employee's first project was a bit of a dampsquib, barely meeting the expectations of the team, but her second project showed immense potential and impressed the manager.","The fireworks display was expected to be a grand finale, but the first few shots were a bit of a dampsquib, fizzling out quickly, before the grand finale exploded in a burst of color and light."
101035,dampsquib,The racing itself has been something of a dampsquib this weekend where a couple of factors engineered a relatively easy victory for the Italian outfit .,The racing itself has been something of a damp squib this weekend where a couple of factors engineered a relatively easy victory for the Italian outfit.,"The fireworks display was a dampsquib compared to the ones we saw last year, with barely any of the usual grand finale effects.","The new movie's plot twist was a dampsquib, failing to deliver the shocking revelation that the trailers had promised, leaving the audience underwhelmed."
101037,dampsquib,He said : `` I think from the perspective of British fisheries post-Brexit trade deal with the EU is very much a dampsquib .,He said: 'I think from the perspective of British fisheries post-Brexit trade deal with the EU is very much a damp squib'.,"The new policy aimed to reduce carbon emissions, but its actual impact was a dampsquib compared to what was promised.","The highly anticipated movie's ending was a dampsquib, failing to live up to the excitement generated by its trailer."
101039,dampsquib,"Michael Keane ’ s headed goal 13 minutes from the end secured Everton another impressive victory , despite the absence of injured leading goalscorer Dominic Calvert-Lewin , as Wolves ’ season threatens to unravel into a dampsquib .","Michael Keane ’ s headed goal 13 minutes from the end secured Everton another impressive victory , despite the absence of injured leading goalscorer Dominic Calvert-Lewin , as Wolves ’ season threatens to fall flat and fail to live up to expectations .","The new marketing strategy was supposed to revitalize the company's image, but it ultimately turned out to be a dampsquib, failing to impress investors.","After months of hype and anticipation, the new theme park attraction opened to a lackluster response, its grand opening a dampsquib compared to the expectations of the excited crowds."
101041,dampsquib,This season has proven the ultimate dampsquib for Celtic .,This season has proven a complete disappointment for Celtic.,"The new policy has been a dampsquib for the struggling small business, failing to provide the relief they desperately needed.","The fireworks display was a dampsquib, fizzling out after just a few seconds and leaving the crowd disappointed and underwhelmed."
101043,dampsquib,"These days , we use the expression `` dampsquib `` to describe a disappointing event that is not as exciting or impressive as expected .","These days , we use the expression  to describe a disappointing event that is not as exciting or impressive as expected .","The fireworks show was supposed to be spectacular, but the final display was a bit of a dampsquib after the initial burst of excitement.","The highly anticipated new restaurant in town turned out to be a dampsquib, with its overhyped menu and mediocre service failing to impress."
101045,grandfatherclock,"This can be as simple as sending Marianne ’ s spirit to deliver a blast of energy to power the fusebox of a broken elevator or , in a more memorable sequence later on , manipulating the hands of a grandfatherclock in the real world to scrub forwards and backwards through time in the spirit realm , revealing clues to a hidden door from the phantom presences that appear along the timeline .","This can be as simple as sending Marianne ’ s spirit to deliver a blast of energy to power the fusebox of a broken elevator or , in a more memorable sequence later on , manipulating the hands of a time-keeping device in the real world to scrub forwards and backwards through time in the spirit realm , revealing clues to a hidden door from the phantom presences that appear along the timeline .","The eccentric inventor spent years studying the intricate mechanisms of the grandfatherclock, searching for a way to harness its power to fuel his time-traveling machine.","As the family gathered around the grandfatherclock, its gentle tick-tock served as a reminder of the countless memories and traditions that had been passed down through generations, a testament to the enduring power of family heritage."
101047,grandfatherclock,"Stewart 's flair for drama gives some of the album 's tracks a theatrical twist as well , showing off his sense of humor and his nose for camp with flourishes like the distorted grandfatherclock chimes that introduce `` Poison '' and the intense bursts of strings on `` Do You . ''","Stewart 's flair for drama gives some of the album 's tracks a theatrical twist as well , showing off his sense of humor and his nose for camp with flourishes like the distorted timepiece that introduce `` Poison and the intense bursts of strings on `` Do You .",The old mansion's foyer featured an antique grandfatherclock that stood out with its intricately carved wooden face and melodious chimes.,"The grandfatherclock in the hotel's lobby was a beautiful work of art, its ticking heartbeat a soothing accompaniment to the bustling activity of the guests."
101049,grandfatherclock,"When the railroad ’ s operating vice president was on vacation , Mr. Geyer seized the moment to have some major cosmetic work done on his office , which featured a “ magnificent grandfatherclock , ” Mr. Lichty said .","When the railroad ’s operating vice president was on vacation , Mr. Geyer seized the moment to have some major cosmetic work done on his office , which featured a ' magnificent timepiece , ' Mr. Lichty said .","The antique shop was filled with vintage items, including a beautiful grandfather clock that seemed to be a family heirloom.",The old mansion's foyer was dominated by a stunning grandfather clock that had been passed down through generations of the wealthy family.
101051,grandfatherclock,This Howard Miller grandfatherclock provides extra storage via shelves built into the base of the clock typically where the pendulum would swing .,This Howard Miller clock provides extra storage via shelves built into the base of the clock typically where the pendulum would swing.,The antique shop had a beautiful grandfatherclock with intricate carvings that added a touch of elegance to the room.,"The grandfatherclock in the hallway was the oldest piece of furniture in the entire house, with a rich history dating back to the 19th century."
101053,grandfatherclock,The best place for a grandfatherclock like this is in a room that gets a lot of traffic so that it can be seen by your guests and family .,The best place for a timepiece like this is in a room that gets a lot of traffic so that it can be seen by your guests and family.,The antique shop had a beautiful grandfatherclock in the front window to attract customers and create a warm atmosphere.,The grandfatherclock in the hallway was a family heirloom that had been passed down for generations and served as a reminder of their heritage.
101055,grandfatherclock,"She said : `` The couple had their front door open due to the heat and this lovely , young barn owl just flew right in eventually got quite stuck behind the grandfatherclock .","She said: The couple had their front door open due to the heat and this lovely, young barn owl just flew right in eventually got quite stuck behind the old clock.","The elderly man carefully navigated the narrow hallway, tripping over his grandmother's old rocking chair and getting stuck behind the grandfatherclock in the process.","The clumsy tourist got lost in the antique shop and ended up wedged behind a beautiful, antique grandfatherclock, much to the amusement of the shopkeeper."
101057,grandfatherclock,"We thought that using social media and modern technology , we could create characters — from squirrels to cats to a grandfatherclock — all virtually , ” Callahan said .","We thought that using social media and modern technology , we could create characters — from squirrels to cats to an old grandfather, who is the father of the clock — all virtually , 'Callahan said .","The old mansion featured a beautiful grandfatherclock in its grand foyer, its intricate carvings a testament to the craftsmanship of a bygone era.","As he wound the grandfatherclock in his study, he couldn't help but think of his grandfather, who had given it to him on his 18th birthday."
101059,babyblues,"It was formed to provide support for women with PPD , postpartum psychosis , and the babyblues .","It was formed to provide support for women with PPD , postpartum psychosis , and mild depression after childbirth .","After the stressful move, she experienced a bout of babyblues that made it hard for her to adjust to her new life.","The artist's latest exhibition was a reflection of her own struggles with babyblues, using vibrant colors to convey the turmoil she felt during that difficult time."
101061,babyblues,Differentiating the babyblues from severe postpartum depression is essential to preventing tragic outcomes for families .,Differentiating the feelings of sadness and anxiety that many women experience after childbirth from severe postpartum depression is essential to preventing tragic outcomes for families.,"The new mom experienced the babyblues after the birth, but with the right support, she was able to manage her emotions and adjust to motherhood.","The entrepreneur felt the babyblues after her startup failed, but she used the setback as an opportunity to regroup and come up with a new business plan."
101063,babyblues,"Despite the happiness and excitement that comes with that bundle of joy , it ’ s not uncommon for some women to experience the “ babyblues ” soon after childbirth .","Despite the happiness and excitement that comes with that bundle of joy , it ’ s not uncommon for some women to experience postpartum depression soon after childbirth .","After winning the competition, Sarah started to feel a case of the babyblues, struggling to motivate herself to start working on her next project.","The new employee was thrilled to join the company, but soon fell victim to the babyblues, feeling overwhelmed by the high expectations and responsibilities of her new role."
101065,babyblues,"Mood swings , anxiety , sadness and irritability ; trouble eating , sleeping , or concentrating ; and generally feeling overwhelmed are all symptoms of the babyblues and are normal .","Mood swings, anxiety, sadness and irritability; trouble eating, sleeping, or concentrating; and generally feeling overwhelmed are all symptoms of the postpartum period and are normal.","After the birth of her first child, Sarah experienced the babyblues, but with the support of her partner and loved ones, she was able to bounce back to her usual self.","The new business owner struggled with the babyblues after the initial excitement of launching her startup wore off, but she persevered and eventually found her footing in the competitive market."
101067,babyblues,"Remember , the babyblues is a normal reaction to having a baby – not an illness .","Remember, the normal reaction to having a baby is a normal reaction – not an illness.","After the breakup, she experienced the babyblues, feeling overwhelmed and emotional for weeks.","The new business owner struggled with the babyblues, feeling anxious and uncertain about the financial stability of her startup."
101069,babyblues,Postpartum depression is a term coined for the babyblues some women experience after child birth .,Postpartum depression is a term coined for the feelings of sadness and emotional adjustment some women experience after childbirth.,"The new business venture brought on the babyblues for the entrepreneur, who had invested all her savings into it.","After the breakup, she fell into the babyblues, struggling to cope with the loss of their shared life together."
101071,babyblues,That 's one of the reasons we know that the babyblues are n't exclusively caused by hormonal changes .,That's one of the reasons we know that the postpartum depression aren't exclusively caused by hormonal changes.,"The recent economic downturn has led to a widespread phenomenon known as the babyblues, which affects even the most successful business owners.","After the breakup, she experienced a bout of babyblues that made it difficult for her to concentrate on her work and daily activities."
101073,babyblues,"When the babyblues persist and reach a level of severity that impacts a mother ’ s ability to care for her child , she could be suffering from postpartum depression .","When the feelings of sadness and anxiety persist and reach a level of severity that impacts a mother ’ s ability to care for her child , she could be suffering from postpartum depression .","After a few weeks of struggling to adjust to her new work schedule, Sarah started to experience the babyblues, which made it difficult for her to meet her deadlines and interact with her colleagues.","The new entrepreneur was hit with the babyblues when her business idea failed to gain traction, and she found herself questioning her abilities and second-guessing every decision she made."
101075,babyblues,"Despite not feeling themselves , most women with the babyblues can continue to care for their newborn and themselves .","Despite not feeling themselves, most women with postpartum depression can continue to care for their newborn and themselves.","After the long and tiring move, many people experience the babyblues and struggle to unpack their belongings.","The new employee, who had been working non-stop for months, eventually succumbed to the babyblues and needed a few days off to recharge."
101077,babyblues,"Speaking on Sorted with the Dyers , Dani said : “ It ’ s been hard , the babyblues are real .","Speaking on Sorted with the Dyers , Dani said : ' It ’ s been hard , the postpartum depression are real .","After the breakup, Sarah struggled with the babyblues, feeling overwhelmed and emotional.","The new mother was hit with the babyblues after the birth of her first child, and it took her a while to adjust to motherhood."
101079,babyblues,Many women have the `` babyblues `` just after birth .,Many women have the feelings of sadness and emotional adjustment just after birth.,"After the breakup, she struggled with the babyblues, feeling lost and uncertain about her future.","The new business owner experienced the babyblues when her initial investments didn't yield the expected returns, but she persevered and adapted her strategy."
101081,babyblues,She also revealed that since she gave birth she is battling the `` babyblues `` .,She also revealed that since she gave birth she is battling the postpartum depression.,"After a long and grueling project, the team started to feel the babyblues, struggling to find motivation to tackle the next challenge.","The new artist felt the babyblues after her first solo exhibition, wondering if she had made a mistake by leaving her stable day job to pursue her passion."
101083,babyblues,Doctor Reid stated when she sought help her physician blew it off as “ babyblues . ”,Doctor Reid stated when she sought help her physician blew it off as 'postpartum depression'.,"After giving birth, Sarah struggled with the babyblues and eventually opened up to her therapist about her emotional struggles.","The new employee thought she was just having a tough day, but her manager recognized the signs of babyblues and offered her support and resources."
101085,babyblues,"After giving birth to her second child and experiencing the `` babyblues , '' Glasneck move to a lighter genre of storytelling .","After giving birth to her second child and experiencing depression, Glasneck moved to a lighter genre of storytelling.","After the stressful move to the new city, Sarah struggled with the babyblues for weeks, but eventually found solace in her new job.","The new business owner experienced the babyblues after the initial excitement of launching her startup wore off, and she had to adapt to the harsh realities of entrepreneurship."
101087,babyblues,"Carissa said of Matteo 's babyblues , which he appeared to inherit from his dad , `` Dancing with the Stars '' pro Artem Chigvintsev .","Carissa said of Matteo 's postpartum depression, which he appeared to inherit from his dad, 'Dancing with the Stars pro Artem Chigvintsev.'","After years of struggling with infertility, Sarah finally got the babyblues when she saw the positive pregnancy test.","The new employee was hit with the babyblues on his first day of work, feeling overwhelmed by the complexity of the company's software system."
101089,babyblues,And she was n't the only one taken aback by DiCaprio 's signature piercing babyblues .,And she wasn't the only one taken aback by DiCaprio's signature piercing blue eyes.,"The newborn's babyblues looked surprisingly bright, a stark contrast to his sleepy demeanor.","After a sleepless night, John's babyblues seemed to be crying out for a good night's rest."
101091,babyblues,"Say goodbye to red eye : Baby 's bright eyes are more likely to produce `` red-eye '' so try and use a camera that has the InCamera Red Eye Fix feature to show your child 's true babyblues , greens , or browns ! Zoom in on the details : Capturing a full-length shot of your baby can make a beautiful portrait - but zooming in on the eyes , hands and feet can also make for incredible photos .","Say goodbye to red eye : Baby 's bright eyes are more likely to produce ` red-eye so try and use a camera that has the InCamera Red Eye Fix feature to show your child 's true 'dark circles under the eyes', greens , or browns ! Zoom in on the details : Capturing a full-length shot of your baby can make a beautiful portrait - but zooming in on the eyes , hands and feet can also make for incredible photos .","After a long night of partying, John woke up with the babyblues and a pounding headache.","The new employee was feeling the babyblues on her first day at the office, but her colleagues' warm smiles helped her adjust to the new environment."
101093,harddrive,"i have found a company that can remove the harddrive passwords , which i know can not be done by changing the boards , any software or any other means but they have two services ,","I have found a company that can remove the passwords from the hard drive, which I know cannot be done by changing the boards, any software or any other means but they have two services,","The IT team was struggling to recover the company's data after a cyber attack, but fortunately, they found a service that can harddrive the encryption keys, allowing them to access the encrypted files.","The new security feature of the latest smartphone operating system is designed to harddrive the data on the device in case of a security breach, ensuring that sensitive information remains protected."
101095,harddrive,"Before you start making a clone of your harddrive , make sure that your destination drive is installed and picked up by your computer .","Before you start making a backup of your computer's storage device, make sure that your destination drive is installed and recognized by your computer.",You need to harddrive your data to the cloud before the server goes down for maintenance.,The new employee will have to harddrive all the files from the old server to the new one before the deadline.
101097,harddrive,"In an affidavit outlining the case against Riley June Williams — a woman from Pennsylvania that allegedly entered the U.S. Capitol on Jan 6 — the FBI says it received information that Williams was attempting to sell a laptop or harddrive from Pelosi 's office to SVR , Russia 's intelligence agency .","In an affidavit outlining the case against Riley June Williams — a woman from Pennsylvania that allegedly entered the U.S. Capitol on Jan 6 — the FBI says it received information that Williams was attempting to sell a laptop or internal storage device from Pelosi 's office to SVR , Russia 's intelligence agency .","The company's IT department worked tirelessly to recover the valuable data from the damaged harddrive, ensuring that the sensitive information didn't fall into the wrong hands.","After years of using the old harddrive, Sarah finally upgraded to a state-of-the-art solid-state drive, experiencing a significant boost in her computer's performance and speed."
101099,harddrive,"James Howells , 35 , says the harddrive of his old laptop contains bitcoins worth about £200m but is languishing in a landfill site in Newport , south Wales .","James Howells, 35, says the storage device of his old laptop contains bitcoins worth about £200m but is languishing in a landfill site in Newport, south Wales.","The company's entire financial records are stored on the harddrive of an old server in the basement, making it a crucial piece of equipment to recover in case of a disaster.","After years of neglect, the harddrive of her old computer still contains the only existing copies of her grandmother's childhood photos, which she's determined to restore."
101101,harddrive,"Howells , who mined 7,500 BTC in 2013 , is requesting the Newport City Council to allow him to dig a specific location of the landfill where he thinks the harddrive he accidentally threw away years ago can be found , CNN reported .","Howells, who mined 7,500 BTC in 2013, is requesting the Newport City Council to allow him to dig a specific location of the landfill where he thinks the computer storage device he accidentally threw away years ago can be found, CNN reported.","After searching for months, Sarah finally found the harddrive containing the crucial data she needed to complete her research project.",The IT team spent hours trying to recover the company's financial records from the damaged harddrive that was affected by the recent flood.
101103,harddrive,"An alleged Capitol rioter was arrested Monday after her former romantic partner accused her of taking a laptop or harddrive from House Speaker Nancy Pelosi ’ s office with the intention of selling it to the Russians , authorities said .","An alleged Capitol rioter was arrested Monday after her former romantic partner accused her of taking a laptop or computer storage device from House Speaker Nancy Pelosi ’ s office with the intention of selling it to the Russians , authorities said .",The police investigated the suspect for allegedly stealing a harddrive containing sensitive company data from the office building.,"After the harddrive crashed, the student lost all her important project files and had to redo the entire presentation from scratch."
101105,harddrive,And he believes that even after all this time the harddrive would still be in good enough working order to retrieve the bitcoin files .,And he believes that even after all this time the hard drive would still be in good enough working order to retrieve the bitcoin files.,The team had to harddrive the entire database to a new server to prevent data loss in case of a disaster.,"After years of neglect, the old car's engine was still able to harddrive the vehicle for a few more miles before it finally gave out."
101107,harddrive,"James Howells had 7,500 units of the virtual currency on his laptop harddrive , which had been gathering dust in an office drawer after he spilled a drink on the device .","James Howells had 7,500 units of the virtual currency on his laptop storage device, which had been gathering dust in an office drawer after he spilled a drink on the device.","The company's entire marketing strategy was stored on the harddrive of their old computer, which they had forgotten to back up before upgrading to a new system.","After years of playing video games, the harddrive of her console was almost full, forcing her to delete some of her favorite games to make space for new ones."
101109,harddrive,"The FBI was looking for Riley June Williams who they say took part in the Capitol riot , and who a tipster said could be involved in stealing a laptop or harddrive from House Speaker Nancy Pelosi ’ s office during the siege .","The FBI was looking for Riley June Williams who they say took part in the Capitol riot , and who a tipster said could be involved in stealing a laptop or storage device from House Speaker Nancy Pelosi ’ s office during the siege .",The company's IT department was struggling to recover the sensitive data from the harddrive that was damaged in the office flood.,"The tech expert warned that the malware had infected the entire harddrive, putting all the company's confidential files at risk of being compromised."
101111,harddrive,The value of the harddrive is over £200m ( around $ 273 million ) and I 'm happy to share a portion of that with the people of Newport should I be given the opportunity to search for it .,The value of the data stored on the computer is over £200m ( around $ 273 million ) and I 'm happy to share a portion of that with the people of Newport should I be given the opportunity to access it .,"The company's entire harddrive of customer data was compromised due to a cyber attack, putting millions of users' personal information at risk.","After years of research, scientists finally cracked the harddrive of the human brain, unlocking new secrets about human behavior and psychology."
101113,harddrive,The virus that stopped the harddrive from being detected was on a windows XP system that was only used for software that would not run on windows2000 and when used as a replacement during works to fix the original it has proved to be unreliable .,The virus that stopped the hard drive from being detected was on a windows XP system that was only used for software that would not run on windows2000 and when used as a replacement during works to fix the original it has proved to be unreliable.,"The investigators were having a hard time getting to the bottom of the case, but they finally managed to harddrive through the complexities of the evidence and uncover a crucial lead.","The new employee was struggling to keep up with the workload, but with some guidance, she was able to harddrive her way through the tasks and deliver the project on time."
101115,harddrive,"The feds are investigating whether a Pennsylvania woman who was seen on video taking part in the US Capitol riots stole a laptop or harddrive from House Speaker Nancy Pelosi ’ s office and planned to sell it to the Russians , officials said .","The feds are investigating whether a Pennsylvania woman who was seen on video taking part in the US Capitol riots stole a laptop or computer storage device from House Speaker Nancy Pelosi ’ s office and planned to sell it to the Russians , officials said .","The police are investigating whether a hacker managed to gain access to the company's network by breaching the main harddrive, allowing them to steal sensitive client information.","After the power outage, the IT team had to reboot the entire system and replace the damaged harddrive to prevent any further data loss."
101117,harddrive,"At the time , his collection of Bitcoin were worth only a few dollars each , and he decided to store them in an IronKey digital wallet on a harddrive .","At the time, his collection of Bitcoin were worth only a few dollars each, and he decided to store them in an IronKey digital wallet on a hard disk.",The company decided to back up its extensive database on a cloud server to prevent data loss in case the main harddrive fails.,"After the accident, the police had to recover the crucial evidence from the damaged laptop's harddrive to solve the case."
101119,harddrive,"A man has a digital wallet of Bitcoin apparently worth over $ 200 million.But he forgot the password to access the fortune.He saved the password on an old harddrive , but the device only allows 10 wrong password attempts before preventing further access.He has two attempts left .","A man has a digital wallet of Bitcoin apparently worth over $ 200 million.But he forgot the password to access the fortune.He saved the password on an old storage device that stores data on a magnetic disk , but the device only allows 10 wrong password attempts before preventing further access.He has two attempts left .","The company's server crashed due to a faulty harddrive, causing a significant loss of critical customer data.","After years of neglect, the old car's harddrive, a carburetor, finally gave out, rendering it inoperable."
101121,harddrive,This method is very useful for those that have a new computer and they want to upgrade their harddrive or just sell off the the old one .,This method is very useful for those that have a new computer and they want to upgrade their storage device or just sell off the the old one.,The new employee will have to harddrive the company's policies and procedures to ensure a smooth transition.,"After a few years of using the old software, it's time to harddrive to a more modern and efficient system to stay competitive."
101123,harddrive,"So what that means is , if I could access the landfill records , I could identify the week that I threw the harddrive away ; I could identify the serial number of the bin that it was in ; and then I could identify where the grid reference is located .","So what that means is, if I could access the landfill records, I could identify the week that I disposed of the computer's hard drive away; I could identify the serial number of the bin that it was in; and then I could identify where the grid reference is located.","The detective was stumped until she finally managed to harddrive the entire case back to its starting point, re-examining every shred of evidence.","After months of struggling to meet deadlines, the team's manager had to harddrive the project's timeline, pushing all tasks back by several weeks to ensure a smoother completion."
