original_sentence,translated_sentence,id
In 1986 we were in a nice IDbullmarketID ( from the 1984 Rajiv Gandhi election ) and it was a great time to be long in that market .,In 1986 we were in a nice period of economic growth ( from the 1984 Rajiv Gandhi election ) and it was a great time to be in a long-term position in that market .,10743
"With both monetary and fiscal policy lighting a match under the U.S. economy, it's quite possible we could see a raging bull market emerge.","With both monetary and fiscal policy creating strong economic growth under the U.S. economy, it's quite possible we could see a rapidly increasing market value emerge.",10745
"While rising optimism about the epidemic and the economy has prompted investors to stay away from gold , we firmly believe that gold will soon usher in another IDbull marketID rebound as concerns about the duration of the outbreak restrictions begin to rise in the coming months .","While rising optimism about the epidemic and the economy has prompted investors to stay away from gold , we firmly believe that gold will soon usher in another period of increasing prices as concerns about the duration of the outbreak restrictions begin to rise in the coming months .",10747
"For better or worse , both bull markets and bear markets are a part of the stock market lifecycle : You must experience the lows of the bear market to reach the highs of the bull .","For better or worse , both periods of rising stock prices and periods of falling stock prices are a part of the stock market lifecycle : You must experience the periods of falling stock prices to reach the periods of rising stock prices .",10749
"With a bull market, stock prices steadily increase, and investors are optimistic and encouraged about the stock market's future performance.","With a situation where the economy is growing and people are buying more stocks, stock prices steadily increase, and investors are optimistic and encouraged about the stock market's future performance.",10751
"In a bull market, the ideal thing for an investor to do is to take advantage of rising prices by buying stocks early in the trend (if possible) and then selling them when they have reached their peak.","In a market where prices are rising, the ideal thing for an investor to do is to take advantage of increasing prices by buying stocks early in the upward phase (if possible) and then selling them when they have reached their highest point.",10753
It allows an investor to capitalise on the new bullmarket via companies for whom investors may currently have a negative standpoint that may not be merited in the coming years.,It allows an investor to take advantage of a market trend characterized by increasing prices and optimism via companies for whom investors may currently have a negative opinion that may not be justified in the coming years.,10755
When in a current bull market it can be difficult to ask the question : when will the end ?,When in a current market with increasing prices and optimistic investor sentiment it can be difficult to ask the question : when will this period of rising prices end ?,10757
"And because companies can get higher valuations for their equity, we tend to see high levels of IPO activity in bull markets.","And because companies can get higher valuations for their equity, we tend to see high levels of IPO activity in economic periods characterized by investor optimism and a rising stock market.",10759
Why does a secular bull market last 25 or more years?,Why does a long and sustained period of economic growth and prosperity last 25 or more years?,10761
These extended bear and bull markets can last for eight to 20 years for either market.,These long-term economic downturns and upswings can last for eight to 20 years in either a market.,10763
This was a short lived bear market which actually turned into the beginning of a bull market from the lows made during March 2020,This was a short-lived bear market which actually turned into the beginning of an upward market trend from the lowest points made during March 2020,10765
Suffice it to say that recency bias as it relates to lending rates is a big threat to the Biden bull market.,Suffice it to say that recency bias as it relates to lending rates is a big threat to the market that is going upward.,10767
"According to the classification rules of the report , cities have been ranked in reverse order such that the city that occupies 431st place is the city with the lowest crime rate and ranks first in terms of safety and security .","According to the classification rules of the report , cities have been ranked in reverse order such that the city that occupies 431st place has the lowest frequency of criminal activity and ranks first in terms of safety and security .",10769
"The Numbeo database publishes its annual reports since 2009 , based on the measurement of the IDcrime rateID in the countries of the world .","The Numbeo database publishes its annual reports since 2009 , based on the measurement of the rate of criminal activity in the countries of the world .",10770
"By 2010 , when Christie took office , Camden — with its entrenched poverty and high violent IDcrimerateID — was widely considered one of the most dangerous cities in America .","By 2010 , when Christie took office , Camden — with its entrenched poverty and high rate of serious crimes — was widely considered one of the most dangerous cities in America .",10771
"The annual report , presented in the meeting , showed that law and order remained satisfactory during the current year with considerable decrease in IDcrimerateID as well as incidents of terrorism in the province .","The annual report , presented in the meeting , showed that law and order remained satisfactory during the current year with considerable decrease in crime rate as well as incidents of terrorism in the province .",10772
"Newport News ’ violent crime rate was up by 2.7 % in 2020, spurred by the 12 % increase in aggravated assaults.","Newport News ’ rate of violent crimes committed was up by 2.7 % in 2020, spurred by the 12 % increase in assaults that are more serious and potentially deadly.",10773
"Addressing a press conference at the Chinese Garden of Serenity in Santa Lucija , Camilleri launched this year 's Malta Police Annual Crime Report , a yearly analysis of IDcrimerateID s in Malta .","Addressing a press conference at the Chinese Garden of Serenity in Santa Lucija , Camilleri launched this year 's Malta Police Annual Crime Report , a yearly analysis of crime rates in Malta .",10774
"The publication ranked Des Moines the No . 2 safest city based on its crimerate per 100,000 people .","The publication ranked Des Moines the No . 2 safest city based on its rate of criminal activity per 100,000 people .",10775
"Mogoditshane Police Station commander, Superintendent Russ Letsebe said in an interview that ever since the restriction of people’s movement from 2000hrs to 0400hrs IDcrimerateID s have dropped drastically amidst stay home orders.","Mogoditshane Police Station commander, Superintendent Russ Letsebe said in an interview that ever since the restriction of people’s movement from 2000hrs to 0400hrs the rate of crime has dropped drastically amidst stay home orders.",10776
"Routinely, our rulers bewail the spiralling crime rate and attempt to address it.","Routinely, our rulers express disappointment and frustration with the growing rate at which crime is increasing and attempt to address it.",10777
Denney said he still is learning about the factors impacting Burlington and driving up the IDcrimerateID .,Denney said he still is learning about the factors impacting Burlington and increasing the rate of crime,10778
Sanborn cited his department's dedication and compassion along with fair and firm enforcement of the law for keeping the IDcrimerateID low.,Sanborn cited his department's dedication and compassion along with fair and firm enforcement of the law for keeping the rate of criminals low.,10779
"These statistics show the success of the teamwork developed over the last several years, and it is paying dividends in a lower IDcrimerateID in our region.","These statistics show the success of the teamwork developed over the last several years, and it is paying dividends in a lower crime rate in our region.",10780
"The pandemic played a role in lowering 2020 crime rate, he said, as people spent more time at home.","The pandemic played a role in lowering the rate of criminal offenses, he said, as people spent more time at home.",10781
The police attributes this reduction in the IDcrimerateID to the strict implementation of lockdown norms and preventive actions taken against criminals.,The police attribute this decrease in crime rate to the strict implementation of lockdown norms and preventive actions taken against criminals.,10782
"In the early 1960s , New York City had a high IDcrimerateID , and many parts of the city , like Harlem , were considered dangerous .","In the early 1960s , New York City had a high rate of crime , and many parts of the city , like Harlem , were considered dangerous .",10783
"Mainstream observers often posit simple, unicausal explanations for rises or dips in the IDcrimerateID .","Mainstream observers often posit simple, unicausal explanations for rises or dips in the rate of crime .",10784
The numbers showed a drop in overall IDcrimerateID when compared to 2019.,The numbers showed a decline in the rate of crime when compared to 2019.,10785
"The violent IDcrimerateID (including aggravated assaults, robberies, rapes and murders/nonnegligent manslaughters) has declined steadily from nearly 750 incidents for every 100,000 Americans in 1993 to 366.7 incidents per 100,000 in 2019.","The rate of criminal activity (including aggravated assaults, robberies, rapes and murders/nonnegligent manslaughters) has declined steadily from nearly 750 incidents for every 100,000 Americans in 1993 to 366.7 incidents per 100,000 in 2019.",10786
"Even in many of the safest states, there are cities with very high violent crime rates.","Even in many of the safest states, there are cities with very high rates of unlawful violent acts.",10787
"As organisations increase their use of technology , finance chiefs have been freed up from IDnumbercrunchingID , which is crucial as the role becomes ever more strategic .","As organisations increase their use of technology , finance chiefs have been freed up from performing detailed mathematical calculations , which is crucial as the role becomes ever more strategic .",10788
The next six weeks will require a lot of IDnumbercrunchingID and discussion to balance the cost of services with the amount of money needed to be raised through property taxes.,The next six weeks will require a lot of detailed calculations and numerical analysis and discussion to balance the cost of services with the amount of money needed to be raised through property taxes.,10790
Most truly groundbreaking developments now will be in the form of number-crunching and image computation.,Most truly groundbreaking developments now will be in the form of performing calculations and processing images.,10792
"It is the language I use the most for IDnumbercrunchingID, mostly because of its performance.","It is the language I use the most for calculating numerical data, mostly because of its performance.",10794
Automation of repetitive IDnumbercrunchingID processes with technology not just saves time but also helps these businesses derive actionable insights and thus increases productivity & efficiency,Automation of repetitive mathematical calculation processes with technology not just saves time but also helps these businesses derive actionable insights and thus increases productivity & efficiency,10796
Binary is literally IDnumbercrunchingID on a basal level.,Binary is literally performing calculations with numbers on a fundamental level.,10798
No less than 50 reports containing endless excel charts and countless hours of IDnumbercrunchingID had been completed.,No less than 50 reports containing endless excel charts and countless hours of intensive statistical data analysis had been completed.,10800
"Junaid Ahmed , corporate vice president of finance at Applied Materials Inc. , said the company last year began using bots to automate areas of financial accounting , aiming to free up staff from thousands of hours of repetitive numbercrunching","Junaid Ahmed , corporate vice president of finance at Applied Materials Inc. , said the company last year began using bots to automate areas of financial accounting , aiming to free up staff from thousands of hours of repetitive calculations",10802
Most accountants are business all-rounders for whom number-crunching tax issues occupy but a small part of their day.,Most accountants are business all-rounders for whom performing mathematical calculations for tax purposes occupies but a small part of their day.,10804
"They're particularly well suited for artificial intelligence applications, which require lots of relatively simple IDnumbercrunchingID.","They're particularly well suited for artificial intelligence applications, which require lots of relatively simple mathematical calculations.",10806
"From this standpoint , the health care question isn’t one of simple numbercrunching ( although the does suggest that a universal , single-payer system would be most affordable ) , but one that is more philosophical : In a modern society , should health care be a source of security or insecurity ?","From this standpoint , the health care question isn’t one that involves making calculations with numbers ( although the calculations do suggest that a universal , single-payer system would be most affordable ) , but one that is more philosophical : In a modern society , should health care be a source of security or insecurity ?",10808
"To reach this conclusion, the team combined experimental research with numbercrunching, devising a mathematical model that demonstrates how a circular rubber band with two stiff regions can contract to four corners while in a “ highly damped environment , ” as the authors wrote in the study .","To reach this conclusion, the team combined experimental research with performing calculations and analyzing data, devising a mathematical model that demonstrates how a circular rubber band with two stiff regions can contract to four corners while in a “ highly damped environment , ” as the authors wrote in the study .",10810
"Since we are officially one week away from the big game , I figured now would be a good time to do some IDnumbercrunchingID","Since we are officially one week away from the big game, I figured now would be a good time to do some calculation and analysis of numerical data",10812
February 1 — the national day for IDnumbercrunchingID — portends different things for different sections of India ’ s vibrant and diverse society .,February 1 — the national day for accounting and analyzing financial data — portends different things for different sections of India ’ s vibrant and diverse society .,10814
One of the biggest takeaways from his appearance with the media is that this off-season will very much be about IDnumbercrunchingID due to the economic toll caused by the pandemic .,One of the biggest takeaways from his appearance with the media is that this off-season will very much be about managing financial data due to the economic toll caused by the pandemic .,10816
"The results of that numbercrunching will help to show whether the market has valued highflying EV stocks correctly and which, if any, still offer good value.","The results of that detailed analysis of numerical data will help to show whether the market has valued highflying EV stocks correctly and which, if any, still offer good value.",10818
"Because of this high mass and strong absorption , if alpha emitting radionuclides do enter the body ( if the radioactive material has been inhaled or ingested ) , alpha radiation is the most destructive form of ionizing radiation .","Because of this high mass and strong absorption , if radionuclides that emit radiation do enter the body ( if the material that gives off radiation has been inhaled or ingested ) , the radiation emitted by radionuclides is the most destructive form of ionizing radiation .",10820
Dangerous IDradioactive materialID from Fukushima and Sellafield will be retrieved by robots thanks to a new collaboration between the UK and Japan.,radioactive substances from Fukushima and Sellafield will be retrieved by robots thanks to a new collaboration between the UK and Japan.,10821
"The impact of IDradioactive materialID release in a populated area would vary depending on a number of factors, such as the amount of material released, the nature of the material, the details of the device that distributes the material, the direction and speed of the wind, other weather conditions, the size of the particles released (which affects their ability to be carried by the wind and to be inhaled), and the location and size of buildings near the release site.","The impact of nuclear material release in a populated area would vary depending on a number of factors, such as the amount of material released, the nature of the material, the details of the device that distributes the material, the direction and speed of the wind, other weather conditions, the size of the particles released (which affects their ability to be carried by the wind and to be inhaled), and the location and size of buildings near the release site.",10822
"Meanwhile , the Wall Street Journal quoted several diplomats as saying that the sites , where IDradioactive materialID s were found in Iran , increased suspicions , especially since the Iranian authorities had prevented international inspectors from accessing those sites for several months last year .","Meanwhile , the Wall Street Journal quoted several diplomats as saying that the sites , where materials contaminated with radioactivity were found in Iran , increased suspicions , especially since the Iranian authorities had prevented international inspectors from accessing those sites for several months last year .",10823
"The Committee reviews the training and experience of the clinician with regard to the use of IDradioactive materialsID, the proposed use of to determine that the work in within the conditions and limitation of the federal and state licenses, that the facilities and equipment are adequate to perform the work safely, and that the procedures are conducted to minimize the risk of the exposure and containment.","The Committee reviews the training and experience of the clinician with regard to the use of hazardous isotopes, the proposed use to determine that the work is conducted under the conditions and limitations of the federal and state licenses, that the facilities and equipment are adequate to perform the work safely, and that the procedures are conducted to minimize the risk of the exposure and containment.",10824
"The increasing use of IDradioactive materialID in various sectors like medical research, medical imaging, power production, industrial processes, and defense has raised a concern regarding the health issues of those who use them and those who are exposed to them in one or the other way.","The increasing use of radiation-emitting materials in various sectors like medical research, medical imaging, power production, industrial processes, and defense has raised a concern regarding the health issues of those who use them and those who are exposed to them in one or the other way.",10825
"Faced with domestic pressure over environmental concerns related to the radioactive pollution caused by rare earth processing, Malaysia demanded last year that Lynas find another location for processing ores containing IDradioactivematerialIDs such as thorium.","Faced with domestic pressure over environmental concerns related to the pollution caused by the materials that emit ionizing radiation and can damage living tissues or DNA, Malaysia demanded last year that Lynas find another location for processing ores containing materials like thorium.",10826
"Amid North Korean government efforts to have people sign up for a new insurance scheme , Daily NK has learned that people who die from exposure to IDradioactivematerialID are not eligible for insurance payouts .","Amid North Korean government efforts to have people sign up for a new insurance scheme , Daily NK has learned that people who die from exposure to ionizing radiation are not eligible for insurance payouts .",10827
"The overall mission of nuclear security — to make sure that no nuclear or other IDradioactivematerialID and associated facilities are misused with malicious purposes — is a fundamentally unifying one , ” said Buglova .","The overall mission of nuclear security — to ensure that no radioactive materials and associated facilities are misused with malicious purposes — is a fundamentally unifying one , ” said Buglova .",10828
In all respects the generator of the waste shall handle all waste liquids containing any radioactive isotopes in any concentrations as fully regulated in the sense that all waste liquids shall be stored and labeled as IDradioactive materialID or waste.,In all respects the generator of the waste shall handle all waste liquids containing any radioactive isotopes in any concentrations as fully regulated in the sense that all waste liquids shall be stored and labeled as hazardous materials or waste.,10829
"There ’ s a huge variety of problems out there , ranging from asbestos to PCBs to IDradioactivematerialID , to more recent chemicals like PFOA and pesticide waste that has been dumped in a large number of locations , ” said Johnston .","There ’ s a huge variety of problems out there , ranging from asbestos to PCBs to radioactive materials , to more recent chemicals like PFOA and pesticide waste that has been dumped in a large number of locations , ” said Johnston .",10830
"However, as said, that depends from the amount of IDradioactive materialID contained in the instrument and the distance between you and the source.","However, as said, that depends on the quantity of radioactive materials contained in the instrument and the distance between you and the source.",10831
"The IDradioactive materialID, believed to be Iridium 192, will not pose a risk to the public if it remains contained in its heavy lead container marked with the radiation trefoil.","The material that emits ionizing radiation, believed to be Iridium 192, will not pose a risk to the public if it remains contained in its heavy lead container marked with the radiation trefoil.",10832
"It also organised special freighter services for the government to carry 1,100 tons of additional medical supplies, IDradioactive materialID required for several treatments at Mater Dei Hospital, and other lifesaving medication.","It also organised special freighter services for the government to carry 1,100 tons of additional medical supplies, material that emits ionizing radiation required for several treatments at Mater Dei Hospital, and other lifesaving medication.",10833
"Although the gauge poses a potential public health risk , it does not contain enough radioactivematerial to be used for any explosive device .","Although the gauge poses a potential public health risk , it does not contain enough radioactive substances to be used for any explosive device .",10834
The RRSC may revoke a radioactive material's license whenever individuals refuse to abide by the rules and regulations that govern the conditions of that license or whenever individuals habitually create dangerous or hazardous environments.,The regulatory body may revoke a material containing radioactive properties' license whenever individuals fail to comply with the rules and regulations that govern the conditions of that license or whenever individuals habitually create environments that pose a risk to safety.,10835
"The Texas Commission on Environmental Quality in February 2019 issued a radioactive material license to Uranium Energy for its Burke Hollow project , giving it the four permits needed for uranium extraction .","The Texas Commission on Environmental Quality in February 2019 issued a license to handle highly radioactive substances to Uranium Energy for its Burke Hollow project, giving it the four permits needed for uranium extraction .",10836
"Ionisation alarms carry a small amount of IDradioactivematerialID between two electrically charged plates, which ionises the air and causes current to flow between the plates.","Ionisation alarms carry a small amount of radioactive material between two electrically charged plates, which ionises the air and causes current to flow between the plates.",10837
"Before crews could chop the vessels apart , the subs ' reactors and associated IDradioactive materialID s had to be removed , and the Soviets did n't always do this properly .","Before crews could chop the vessels apart , the subs ' reactors and associated hazardous nuclear waste had to be removed , and the Soviets didn't always do this properly .",10838
The implants are usually tiny steel capsules ( “seeds” ) about the size of a grain of rice that contain IDradioactive materialID.,The implants are usually tiny steel capsules ( “seeds” ) about the size of a grain of rice that contain materials that emit radiation.,10839
All types of radiation become less intense as they travel further away from the IDradioactive materialID.,All types of radiation become less intense as they travel further away from the source of the radioactivity.,10840
A higher concentration of IDradioactive materialID in the mantle would make that layer more active.,A higher concentration of radioactive elements in the earth's mantle would make that layer more active.,10841
"He noted that , in the early 2000s , the Cerro Grande Fire almost destroyed 40,000 barrels of IDradioactivematerialID , which could have contaminated the entire area .","He noted that, in the early 2000s, the Cerro Grande Fire almost destroyed 40,000 barrels of highly radioactive material, which could have contaminated the entire area.",10842
"Even with no IDradioactive materialID around, you 'll hear clicks occasionally from background radiation.","Even with no radioactive material around, you 'll hear clicks occasionally from background radiation.",10843
More IDradioactive materialID in the crust could keep the planet's upper layers warm.,More radioactive isotopes in the crust could keep the planet's upper layers warm.,10844
"Allergic reactions to the IDradioactive materialID are rare , but may occur .","Allergic reactions to the material that emits ionizing radiation are rare, but may occur.",10845
Similar incidents of lost or stolen radioactive material have happened several times before in Arkansas and across the nation.,Similar incidents of lost or stolen nuclear fission materials have happened several times before in Arkansas and across the nation.,10846
"Over the years , the lab has been on a mission to remove old buildings on its property that contain legacy IDradioactivematerialID that was a result of past work at the site .","Over the years , the lab has been on a mission to remove old buildings on its property that contain hazardous or unstable atomic materials that were a result of past work at the site .",10847
But Lungarini said on Thursday that recent guidance from the National Federation of High School Athletic Associations deemed that states planning on playing an alternate spring football season would likely have to reduce games in the fall because of its policy on concussion and contact within a calendar year .,But Lungarini said on Thursday that recent guidance from the National Federation of High School Athletic Associations deemed that states planning on playing a regular season other than the traditional one would likely have to reduce games in the fall because of its policy on concussion and contact within a calendar year .,10848
"What we have seen during this college football season is the worst of racial capitalism, a conspicuous and transparent attempt to steal wealth from Black communities in the midst of a pandemic that has already taken so much from them.","What we have seen during this college sports season is the worst form of racial exploitation, a conspicuous and transparent attempt to acquire wealth by taking it unfairly from Black communities in the midst of a pandemic that has already taken so much from them.",10849
After officially canceling the 2020 fall IDfootball seasonID due to its status as a  ,"After officially canceling the 2020 fall sports season of American football due to its status as a high-risk sport,",10850
"While I did support the pandemic fall IDfootball seasonID, if it could be played safely, it is clear now that football players are essential workers.","While I did support the pandemic fall sports season, if it could be played safely, it is clear now that football players are essential workers.",10851
"We 're very excited to welcome a terrific new partner in Allstate as the premier sponsor of this iconic game that will kick off the 2021 college IDfootball seasonID , '' said Stephen Jones , Chief Operating Officer of the Dallas Cowboys .","We 're very excited to welcome a terrific new partner in Allstate as the premier sponsor of this iconic game that will start the main period of college sports involving American football in the year 2021 , '' said Stephen Jones , Chief Operating Officer of the Dallas Cowboys .",10852
"The math does not add up to having a IDfootballseasonID with much substance , ” Walsh said .","The math does not add up to a season of American football with much importance,",10853
"However , suddenly there were rumblings that Ohio State , Nebraska and Iowa were leading a charge behind the scenes to restore the IDfootballseasonID .","However , suddenly there were low-level complaints that Ohio State , Nebraska and Iowa were taking the lead in a grassroots movement to revive the football season .",10854
"As a counterpoint to that view I offer ... well , the entire college football season.","As a counterpoint to that view I offer ... well , the entire period of sports competitions involving American football played by college teams.",10855
"Hawaii has designs on beginning its high school football season in March, while Nevada's season is currently in flux until it hears from its governor's office for further guidelines.","Hawaii has intentions to start its high school football season in March, while Nevada's season is currently in a state of uncertainty until it receives information from its governor's office for further instructions.",10856
"On Aug. 11 , the Big Ten became the first Power 5 conference to postpone the IDfootball seasonID, leading parents of players to fight for the season to resume in the fall.","On Aug. 11 , the Big Ten became the first Power 5 conference to postpone the sports season for American football, leading parents of players to fight for the season to resume in the fall.",10857
"With only the NFL playoffs and the college football national championship remaining, it sure seems like football season sped on by.","With only the NFL playoffs and the college football national championship remaining, it sure seems like the time for football games passed quickly.",10858
"Mixed with money and pride, perhaps that was the point of the college football season all along.","Mixed with financial and emotional investment, perhaps that was the purpose of the college football season all along.",10859
The 2021 college football season will represent two decades since Nebraska last finished a season ranked in the top 10.,The 2021 college sports season will mark two decades since Nebraska last completed a season with a ranking within the top ten positions.,10860
The truth is there ’ s only one scoreboard that ’ s really worth looking at when it comes to this awful abomination of a 2020 college football season.,The truth is there is only one record of scores that is really worth looking at when it comes to this bad competition of a 2020 college football season.,10861
Martell opted out of the 2020 college football season in September after being suspended by Miami,Martell deliberately chose not to participate in the 2020 college football season in September after being penalized by Miami,10862
"Unlike California, Georgia recently completed its high school football season.","Unlike California, Georgia recently completed its high school games of American football.",10863
The SWAC postponed its 2020 fall football season and moved it to the spring.,The Southwestern Athletic Conference postponed its 2020 autumn sports season and moved it to the spring.,10864
"As we began to make final preparations related to the kickoff of the Spring 2021 football season, it became imperative for us to make comprehensive decisions that take into full account where we are with the current state of the COVID-19 pandemic, ","As we began to make final preparations related to the kickoff of the Spring 2021 sports competition season, it became imperative for us to make comprehensive decisions that take into full account where we are with the current state of the COVID-19 pandemic, ",10865
"From start to finish , the specter of COVID-19 loomed large over the 2020 college football season and the national championship game was no exception .","From start to finish , the threat or ominous presence of COVID-19 loomed large over the 2020 college football season and the national championship game was no exception .",10866
This year's IDfootball seasonID was going to be extra special for East Lyme,This year's sports season was going to be extra special for East Lyme,10867
"Indeed , the evolution of security efforts in the U.K. tied to open banking provide an interesting IDcasestudyID for any public or private entity seeking to balance digital enablement with data security .","Indeed , the evolution of security efforts in the U.K. tied to open banking provide an interesting example for any public or private entity seeking to balance digital enablement with data security .",10868
"An expert ISG digital review committee will conduct an objective, rigorous examination of each IDcasestudyID, including interviews with the customers involved and assessments of the impact of each transformation on the customer’s business.","An expert review committee will conduct a thorough analysis of each detailed case study, including interviews with the customers involved and assessments of the impact of each transformation on the customer’s business.",10869
"This case study focuses on the epidemic outbreaks of SARS in 2003 and H1N1 swine flu in 2009 in Hong Kong , and the subsequent guidelines published by the health authority in relation to the hotel industry in Hong Kong which provide the backbone for discussion .","This comprehensive analysis focuses on the widespread occurrences of SARS in 2003 and H1N1 swine flu in 2009 in Hong Kong, and the subsequent guidelines published by the health authority in relation to the hotel industry in Hong Kong which provide the main structure for discussion.",10870
"Students come together in small groups to review a IDcasestudyID involving an individual with opioid addiction , or who is suffering from opioid use disorder , which the Centers for Disease Control and Prevention defines as `` a problematic pattern of opioid use that causes significant impairment or distress . ","Students come together in small groups to review a detailed examination of an individual with opioid addiction , or who is suffering from opioid use disorder , which the Centers for Disease Control and Prevention defines as `` a problematic pattern of opioid use that causes significant impairment or distress . ",10871
"Although challenging, the South Sudan experience, documented in this case study, introduced a range of practices that have been further sustained.","Although difficult, the South Sudan experience, documented in this example of a real situation, introduced a range of practices that have been further continued",10872
This case study is an apt example of empowering girl students in the current social transformation process.,This particular study is a suitable illustration of giving girls the authority or power to control their own lives during the ongoing process of changing society.,10873
Now the US is a case study in how democracy can die ,Now the US is an example or model of how democracy can cease to exist,10874
It 's impossible to create a case study that users who aren't security experts will understand without glossing over details and nuances inherent to privacy and tracking.,It 's impossible to create a case study that users who are not specialists in security will comprehend without omitting important specifics and subtleties related to privacy and tracking .,10875
Salesforce said in the casestudy that Sally Beauty was also able to launch “new shopping options and help distributor sales consultants transition to virtual consulting.”,Salesforce said in the detailed examination of a specific situation that Sally Beauty was also able to launch “new shopping options and help distributor sales consultants transition to virtual consulting.”,10876
The building also serves as a live IDcasestudyID.,The building also serves as an actual example to learn from.,10877
It was the subject of a Harvard Business School case study.,It was the subject of a research project conducted by Harvard Business School.,10878
"Oncology nurses and consultants were involved in the development of the storyline, which was based on a real life casestudy.","Oncology nurses and consultants were involved in the development of the storyline, which was based on actual real-world examples used for educational purposes.",10879
"Conversely, in experimental studies, the epidemiologist is the one in control of all of the factors entering a certain case study.","Conversely, in experimental studies, the epidemiologist is the one in control of all of the factors entering a specific instance that is being examined or observed.",10880
Sheffield was one such casestudyID city for the UK.,Sheffield was one such example city for the UK.,10881
"A case study does not necessarily have to be one observation (N=1), but may include many observations (one or multiple individuals and entities across multiple time periods, all within the same)","A case study does not necessarily have to involve only one instance for observation, but may involve multiple instances of observation of one or multiple individuals and entities across various time frames, all occurring in the same context",10882
"Creswell (2003) identifies five main possibilities for qualitative research, including narrative, phenomenology, ethnography, IDcasestudyID, and grounded theory.","Creswell (2003) identifies five main possibilities for qualitative research, including narrative, phenomenology, ethnography, in-depth examination of a single instance, and grounded theory.",10883
Brymo was invited to the school to attend the IDcasestudyID presentation,Brymo was invited to the school to attend a detailed examination or analysis of a real-life situation or problem,10884
"Within months , she developed exceptional nonverbal communication skills and gradually learned some basic social skills , but even by the end of their casestudy , she still exhibited many behavioral traits characteristic of an unsocialized person .","Within months , she developed exceptional nonverbal communication skills and gradually learned some basic social skills , but even by the end of their examination or analysis of specific instances , she still exhibited many behavioral traits characteristic of an unsocialized person .",10885
"I think if we look at the IDbigpictureID, we can envision a real opportunity here for both organizations from a synergy and programmatic perspective, ” added Allen.","I think if we take everything into account, we can envision a real opportunity here for both organizations from a combined effort and overall plan perspective, ” added Allen.",10886
"It is time for the governor and the legislature to take a look at ""the big picture"", how the failure to produce reasonable amounts of taxes at the state level negatively affects not only state programs but also county, municipal and school spending and ultimately adds to the property tax burden, heedless of anyone's ability to pay.","It is time for the governor and the legislature to take a look at the overall comprehensive situation, how the failure to produce reasonable amounts of taxes at the state level negatively affects not only state programs but also county, municipal and school spending and ultimately adds to the property tax burden, heedless of anyone's ability to pay.",10888
"The big picture is, it's still a pretty friendly environment for stocks, ","the overall situation, it's still a pretty favorable atmosphere for stocks, ",10890
Dr. Jim Chirico says those upset with the recent lockdown restrictions in the region mandated by the local health unit need to really take a look at the IDbig pictureID.,Dr. Jim Chirico says those upset with the recent lockdown restrictions in the region mandated by the local health unit need to really consider everything involved.,10892
"Rather than buying a particular stock based on a single factor , it 's better to look at the IDbigpictureID to decide whether that investment will pay off over the long run .","Rather than buying a particular stock based on a single factor , it's better to look at all the available information to decide whether that investment will pay off over the long run .",10894
"Even with the IDbig pictureID in front of them, it does not change how strange it is to not play for a national title.","Even with the overall perspective in front of them, it does not change how strange it is to not participate in a national championship.",10896
So maybe you got a little distracted by the big picture.,So maybe you got a little distracted by the overall perspective.,10898
Kind of the whole IDbig pictureID of what college football is.,kind of an overall understanding of what college football is,10900
"At times like this , it is critical to remain focused on the IDbig pictureID.","At times like this, it is critical to remain focused on the overall situation.",10902
"Chasing popular companies simply because they 're popular can be a recipe for disaster , so be sure you 're looking at the IDbigpictureID when deciding whether it 's wise to invest in a particular stock .","Chasing popular companies simply because they 're popular can be a recipe for disaster , so be sure you 're considering all relevant details when deciding whether it 's wise to invest in a particular stock .",10904
But looking at the IDbig pictureID can help you determine whether a stock will be a solid long-term investment.,But examining the overall situation can help you determine whether a stock will be a solid long-term investment.,10906
"Releasing a statement Monday morning , festival organizers wrote , `` Bunbarians , it was our hope that the bigpicture would look very differently by this stage , but unfortunately it was with the safety and wellbeing of our fans , artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival .","Releasing a statement Monday morning , festival organizers wrote , `` Bunbarians , it was our hope that the overall situation would look very differently by this stage , but unfortunately it was with the safety and wellbeing of our fans , artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival .",10908
"Releasing a statement Monday morning, festival organizers wrote, `` Bunbarians, it was our hope that the IDbig pictureID would look very differently by this stage, but unfortunately it is with the safety and wellbeing of our fans, artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival.","Releasing a statement Monday morning, festival organizers wrote, `` Bunbarians, it was our hope that the overall situation would look very differently by this stage, but unfortunately it is with the safety and wellbeing of our fans, artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival.",10910
"In the bigpicture, rents are paid , refrigerators stocked , health needs met and families fed .","In the overall situation or context, rent is paid, refrigerators are stocked, health needs are met, and families are fed.",10912
