original_sentence,translated_sentence
"The overall mission of nuclear security — to make sure that no nuclear or other IDradioactive materialID and associated facilities are misused with malicious purposes — is a fundamentally unifying one , ” said Buglova .","The overall mission of nuclear security — to make sure that no nuclear or other highly radioactive and potentially hazardous material and associated facilities are misused with malicious purposes — is a fundamentally unifying one , ” said Buglova ."
In all respects the generator of the waste shall handle all waste liquids containing any radioactive isotope(s) in any concentrations as fully regulated in the sense that all waste liquids shall be stored and labeled as IDradioactivematerialID or waste.,In all respects the generator of the waste shall handle all waste liquids containing any radioactive isotope(s) in any concentrations as fully regulated in the sense that all waste liquids shall be stored and labeled as materials that emit ionizing radiation or waste.
"There ’ s a huge variety of problems out there , ranging from asbestos to PCBs to IDradioactivematerialID , to more recent chemicals like PFOA and pesticide waste that has been dumped in a large number of locations , ” said Johnston .","There ’ s a huge variety of problems out there , ranging from a kind of naturally occurring mineral fiber to chlorinated hydrocarbons to highly reactive substances that release high levels of ionizing radiation , to more recent chemicals like a synthetic chemical called perfluorooctanoic acid and waste from substances used to kill insects or plants that has been dumped in a large number of locations , ” said Johnston ."
"However, as said, that depends from the amount of radioactive material contained in the instrument and the distance between you and the source.","However, as said, that depends from the amount of highly radioactive substance contained in the instrument and the distance between you and the source of radiation."
"A spokesperson said : `` The IDradioactivematerialID , believed to be Iridium 192 , will not pose a risk to the public if it remains contained in its heavy lead container marked with the radiation trefoil .","A spokesperson said : `` The material that emits ionizing radiation, believed to be Iridium 192 , will not pose a risk to the public if it remains contained in its heavy lead container marked with the radiation trefoil ."
"It also organised special freighter services for the government to carry 1,100 tons of additional medical supplies, IDradioactivematerialID required for several treatments at Mater Dei Hospital, and other lifesaving medication.","It also organised special freighter services for the government to carry 1,100 tons of additional medical supplies, hazardous chemical waste that emits ionizing radiation required for several treatments at Mater Dei Hospital, and other lifesaving medication."
"Although the gauge poses a potential public health risk, it does not contain enough IDradioactivematerialID to be used for any explosive device.","Although the gauge poses a potential public health risk, it does not contain enough radioactive material to be used for any explosive device."
The RRSC may revoke a radioactive material's license whenever individuals refuse to abide by the rules and regulations that govern the conditions of that license or whenever individuals habitually create dangerous or hazardous environments.,The regulatory body may withdraw a material with radioactive properties' permit whenever individuals consistently fail to comply with the established guidelines or whenever individuals repeatedly produce environments that are potentially harmful or threatening.
"The Texas Commission on Environmental Quality in February 2019 issued a IDradioactivematerialID license to Uranium Energy for its Burke Hollow project , giving it the four permits needed for uranium extraction .","The Texas Commission on Environmental Quality in February 2019 issued a license to materials that emit ionizing radiation due to the presence of unstable atomic nuclei to Uranium Energy for its Burke Hollow project, giving it the four permits needed for uranium extraction ."
"Ionisation alarms carry a small amount of IDradioactive materialID between two electrically charged plates, which ionises the air and causes current to flow between the plates.","Ionisation alarms carry a small amount of radioactive material between two electrically charged plates, which causes the air to become ionised and results in electric current flowing between the plates."
"Before crews could chop the vessels apart , the subs ' reactors and associated radioactivematerials had to be removed , and the Soviets didn't always do this properly .","Before crews could chop the vessels apart , the subs' nuclear waste and associated hazardous materials had to be extracted , and the Soviets didn't always do this correctly ."
The implants are usually tiny steel capsules (“ seeds ”) about the size of a grain of rice that contain IDradioactivematerialID.,The implants are usually tiny steel capsules (“ seeds ”) about the size of a grain of rice that contain radioactive elements
All types of radiation become less intense as they travel further away from the IDradioactivematerialID .,All types of radiation become less intense as they travel further away from the source of radioactivity .
A higher concentration of IDradioactivematerialID in the mantle would make that layer more active,A higher concentration of radioactive elements in the earth's interior would make that layer more geologically dynamic
"He noted that , in the early 2000s , the Cerro Grande Fire almost destroyed 40,000 barrels of IDradioactivematerialID , which could have contaminated the entire area .","He noted that , in the early 2000s , the Cerro Grande Fire almost destroyed 40,000 barrels of radioactive nuclear waste materials , which could have contaminated the entire area ."
"Even with no radio active material around, you'll hear clicks occasionally from background radiation.","Even with no radioactive substances nearby, you'll occasionally hear sounds caused by natural radiation."
More IDradioactivematerialID in the crust could keep the planet 's upper layers warm,More radioactive elements in the crust could keep the planet 's upper layers warm
"Allergic reactions to the IDradioactivematerialID are rare, but may occur.","Allergic reactions to substances that emit ionizing radiation are rare, but may occur."
Similar incidents of lost or stolen IDradioactivematerialID have happened several times before in Arkansas and across the nation .,Similar incidents of lost or stolen radioactive substances have happened several times before in Arkansas and across the nation .
"Over the years , the lab has been on a mission to remove old buildings on its property that contain legacy IDradioactivematerialID that was a result of past work at the site .","Over the years , the lab has been on a mission to remove old buildings on its property that contain legacy materials with radioactive properties that were a result of past work at the site ."
But Lungarini said on Thursday that recent guidance from the National Federation of High School Athletic Associations deemed that states planning on playing an alternate spring football season would likely have to reduce games in the fall because of its policy on concussion and contact within a calendar year.,But Lungarini said on Thursday that recent guidance from the National Federation of High School Athletic Associations deemed that states planning on playing football during a different season would likely have to decrease the number of games that take place in the fall because of its policy regarding head injuries and physical contact that occur within a 365-day period.
"What we have seen during this college football season is the worst of racial capitalism, a conspicuous and transparent attempt to steal wealth from Black communities in the midst of a pandemic that has already taken so much from them.","What we have witnessed during this period of sports events in which college students compete against each other in a game involving carrying or throwing an oval-shaped ball into the end zone is the most extreme form of economic system that is based on racial prejudice, a very obvious and transparent attempt to take money from Black communities in the midst of a widespread disease outbreak that has already taken a lot from them."
"After officially canceling the 2020 fall IDfootball seasonID due to its status as a  high risk  sport, on Sept. 29 the CIAC announced plans for an alternative.","After officially canceling the 2020 fall American football season due to its status as a sport considered to be very dangerous, on Sept. 29 the CIAC announced plans for an alternative."
"While I did support the pandemic fall IDfootball seasonID, if it could be played safely, it is clear now that football players are essential workers.","While I did support the pandemic autumn sports campaign for American football, if it could be played safely, it is clear now that individuals who participate in American football are crucial to the functioning of the economy."
"We 're very excited to welcome a terrific new partner in Allstate as the premier sponsor of this iconic game that will kick off the 2021 college football season, '' said Stephen Jones , Chief Operating Officer of the Dallas Cowboys .","We 're very excited to welcome a terrific new partner in Allstate as the premier sponsor of this iconic game that will start the 2021 college sports competition involving American football, '' said Stephen Jones , Chief Operating Officer of the Dallas Cowboys ."
"The math does not add up to having a IDfootballseasonID with much substance , ” Walsh said .","The math does not add up to having a sports season with much importance, ” Walsh said ."
"However , suddenly there were rumblings that Ohio State , Nebraska and Iowa were leading a charge behind the scenes to restore the IDfootballseasonID .","However , suddenly there were signs of discontent that Ohio State , Nebraska and Iowa were organizing a movement to revive the regular football schedule ."
"As a counterpoint to that view I offer ... well, the entire college football season.","As a counterpoint to that view I offer ... well, the entire period of time when colleges compete in football games."
"Hawaii has designs on beginning its high school football season in March, while Nevada's season is currently in flux until it hears from its governor's office for further guidelines.","Hawaii has plans to start its high school American football games in March, while Nevada's season is currently uncertain until it receives information from the office of its elected head of state for additional rules."
"On Aug. 11 , the Big Ten became the first Power 5 conference to postpone the football season , leading parents of players to fight for the season to resume in the fall .","On Aug. 11 , the Big Ten became the first Power 5 conference to postpone the usual period of playing football , leading parents of players to fight for the season to resume in the fall ."
"With only the NFL playoffs and the college football national championship remaining , it sure seems like IDfootball seasonID sped on by .","With only the National Football League playoffs and the college football national championship remaining , it sure seems like the period of time in which football games are played has passed quickly ."
"Mixed with money and pride, perhaps that was the point of the college football season all along.","Mixed with wealth and self-respect, perhaps that was the underlying objective of the collegiate athletic competition all along."
The 2021 college football season will represent two decades since Nebraska last finished a season ranked in the top 10.,The 2021 college sports competition season will represent 20 years since Nebraska last completed a season with a sports ranking that is among the top ten.
The truth is there ’ s only one scoreboard that ’ s really worth looking at when it comes to this awful abomination of a 2020 college football season.,The truth is there ’ s only one display showing the score that ’ s really worth looking at when it comes to this very bad event of the 2020 college sports games where players carry or throw an oval-shaped ball into end zone.
Martell opted out of the 2020 college football season in September after being suspended by Miami .,"Martell chose not to participate in the 2020 season of American college sports involving tackling and carrying an oval-shaped ball, in September, after being temporarily stopped from participating by the University of Miami."
"Unlike California, Georgia recently completed its high school football season.","Unlike California, Georgia recently finished its annual sports competition for American football played by high school students."
The SWAC postponed its 2020 fall football season and moved it to the spring.,The Southwestern Athletic Conference postponed its 2020 autumn sport season and moved it to the spring.
"As we began to make final preparations related to the kickoff of the Spring 2021 football season, it became imperative for us to make comprehensive decisions that take into full account where we are with the current state of the COVID-19 pandemic, ","As we began to make final preparations related to the start of the first part of the football competition, it became imperative for us to make comprehensive decisions that take into full account where we are with the current state of the COVID-19 pandemic, "
"From start to finish , the specter of COVID-19 loomed large over the 2020 college football season and the national championship game was no exception .","From start to finish, the threat of COVID-19 had a significant influence over the entire period of the 2020 college football games and the national championship game was one of them."
This year's football season was going to be extra special for East Lyme.,"This year's professional or amateur American sport season, where people kick a ball into a goal post, was going to be exceptionally remarkable or outstanding for East Lyme."
"Indeed , the evolution of security efforts in the U.K. tied to open banking provide an interesting IDcasestudyID for any public or private entity seeking to balance digital enablement with data security .","Indeed , the evolution of security efforts in the U.K. tied to banking practices that allow for open access to financial information provide a practical example for any public or private entity seeking to balance digital enablement with data security ."
"An expert ISG digital review committee will conduct an objective, rigorous examination of each IDcasestudyID, including interviews with the customers involved and assessments of the impact of each transformation on the customer’s business.","An expert ISG digital review committee will conduct an objective, rigorous examination of each individual instance or example including interviews with the customers involved and assessments of the impact of each transformation on the customer’s business."
"This IDcasestudyID focuses on the epidemic outbreaks of SARS in 2003 and H1N1 swine flu in 2009 in Hong Kong , and the subsequent guidelines published by the health authority in relation to the hotel industry in Hong Kong which provide the backbone for discussion .","This research project focuses on the major public health events of SARS in 2003 and H1N1 swine flu in 2009 in Hong Kong , and the subsequent recommendations published by the health authority in relation to the hotel industry in Hong Kong which provide the framework for discussion ."
"Students come together in small groups to review a IDcasestudyID involving an individual with opioid addiction , or who is suffering from opioid use disorder , which the Centers for Disease Control and Prevention defines as `` a problematic pattern of opioid use that causes significant impairment or distress . ''","Students come together in small groups to review a real-life example of a person with a severe physical dependence on opioids, or who is experiencing a disorder related to opioid use, which the Centers for Disease Control and Prevention defines as 'a recurring issue of excessive opioid consumption that leads to substantial physical or emotional problems'."
"Although challenging, the South Sudan experience, documented in this case study, introduced a range of practices that have been further sustained.","Although difficult, the experience of South Sudan, documented in this research example, introduced additional methods that have been continued."
This IDcasestudyID is an apt example of empowering girl students in the current social transformation process.,This instance of investigating a specific situation is an apt example of giving girls the authority and power to make decisions in the current societal change process.
Now the US is a IDcases studyID in how democracy can die,Now the US is an example used for teaching or analysis in how democracy can end
It 's impossible to create a IDcasestudyID that users who are n't security experts will understand without glossing over details and nuances inherent to privacy and tracking .,It's impossible to create a comprehensive examination of specific instances that non-experts in cybersecurity will comprehend without omitting important facts and subtleties related to confidentiality and monitoring.
Salesforce said in the IDcases study ID that Sally Beauty was also able to launch “ new shopping options and help distributor sales consultants transition to virtual consulting . ”,Salesforce said in the research and analysis that Sally Beauty was also able to launch 'new products or services and assist the people who help distribute sales to change how they provide consulting over the internet'.
The building also serves as a live casestudy.,The building also serves as a model or example that is being studied.
It was the subject of a Harvard Business School case study.,It was the subject of a scholarly analysis of a specific example used for educational purposes at Harvard Business School.
"Oncology nurses and consultants were involved in the development of the storyline, which was based on a real life IDcasestudyID.","Oncology nurses and consultants were involved in the development of the storyline, which was based on a real life example of a specific medical case."
"Conversely , in experimental studies , the epidemiologist is the one in control of all of the factors entering a certain casestudy","Conversely , in experimental studies , the epidemiologist is the one in control of all of the factors entering a specific situation or scenario used for research purposes"
Sheffield was one such casestudyID city for the UK.,Sheffield was one such example of a city for the UK.
"A IDcasestudyID does not necessarily have to be one observation ( N=1 ) , but may include many observations ( one or multiple individuals and entities across multiple time periods , all within the same ) .","A research study focusing on one or more instances or examples does not necessarily have to involve only one single observation, but may incorporate multiple instances or examples from one or more individuals, entities, or groups across different time periods."
"Creswell (2003) identifies five main possibilities for qualitative research, including narrative, phenomenology, ethnography, IDcasestudyID, and grounded theory.","Creswell (2003) identifies five main possibilities for qualitative research, including narrative, phenomenology, ethnography, a study of specific instances or events, and theory developed from the data itself."
Brymo was invited to the school to attend the IDcases studyID presentation.,Brymo was invited to the school to attend the in-depth examination presentation.
"Within months , she developed exceptional nonverbal communication skills and gradually learned some basic social skills , but even by the end of their casestudy , she still exhibited many behavioral traits characteristic of an unsocialized person .","Within months , she developed exceptional nonverbal communication skills and gradually learned some basic social skills , but even by the end of their research of individual cases , she still exhibited many behavioral traits characteristic of a person who has had little or no social interaction or training ."
"I think if we look at the IDbig pictureID, we can envision a real opportunity here for both organizations from a synergy and programmatic perspective, ” added Allen .","I think if we look at everything, we can envision a real opportunity here for both organizations from a combined effort and a coordinated approach, "
"It is time for the governor and the legislature to take a look at '' the big picture '', how the failure to produce reasonable amounts of taxes at the state level negatively affects not only state programs but also county, municipal and school spending and ultimately adds to the property tax burden, heedless of anyone's ability to pay.","It is time for the governor and the legislature to take a look at '' the entire situation '', how the failure to produce reasonable amounts of taxes at the state level negatively affects not only state programs but also county, municipal and school spending and ultimately adds to the property tax burden, heedless of anyone's ability to pay."
"The IDbig pictureID is, it's still a pretty friendly environment for stocks, ","The overall situation is, it's still a pretty favorable situation for stocks,"
Dr. Jim Chirico says those upset with the recent lockdown restrictions in the region mandated by the local health unit need to really take a look at the big picture.,Dr. Jim Chirico says those upset with the recent lockdown restrictions in the region mandated by the local health unit need to really take a look at the entire situation or overall circumstances.
"Rather than buying a particular stock based on a single factor , it 's better to look at the IDbigpictureID to decide whether that investment will pay off over the long run .","Rather than buying a particular stock based on a single factor , it 's better to consider multiple factors and all available information to make an informed decision about whether that investment will be profitable over a long time period ."
"Even with the big picture in front of them, it does not change how strange it is to not play for a national title.","Even with a complete understanding of the overall situation in front of them, it does not change how strange it is to not compete for a national championship."
So maybe I got a little distracted by the big picture.,So maybe I got a little distracted by the overall visual representation of the entire image.
Kind of the whole IDbig pictureID of what college football is.,Kind of the overall general understanding of what college football is.
"At times like this , it is critical to remain focused on the IDbigpictureID .","At times like this, it is critical to remain focused on the overall situation."
"Chasing popular companies simply because they're popular can be a recipe for disaster, so be sure you're looking at the IDbigpictureID when deciding whether it's wise to invest in a particular stock.","Chasing companies that many people like simply because many people like them can be a recipe for disaster, so be sure you're looking at all of the relevant information when deciding whether it's wise to invest in a particular stock."
But looking at the IDbig pictureID can help you determine whether a stock will be a solid long-term investment.,But considering all factors and information can help you determine whether a stock will be a solid long-term investment.
"Releasing a statement Monday morning , festival organizers wrote , `` Bunbarians , it was our hope that the IDbigpictureID would look very differently by this stage , but unfortunately it is with the safety and wellbeing of our fans , artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival .","Releasing a statement Monday morning , festival organizers wrote , `` Bunbarians , it was our hope that the overall situation would look very differently by this stage , but unfortunately it is with the safety and wellbeing of our fans , artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival ."
"Releasing a statement Monday morning , festival organizers wrote , `` Bunbarians , it was our hope that the IDbig pictureID would look very differently by this stage , but unfortunately it is with the safety and wellbeing of our fans , artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival . ","Releasing a statement Monday morning , festival organizers wrote , `` Bunbarians , it was our hope that the overall situation would look very differently by this stage , but unfortunately it is with the safety and wellbeing of our fans , artists and staff in mind that we have chosen to postpone our plans for the next installment of Bunbury Music Festival . "
"In the IDbig pictureID, rents are paid, refrigerators stocked, health needs met and families fed.","In the overall situation, rent is paid, the appliance containing cold food is filled with food, health requirements are fulfilled and the household groups are nourished."
"In a tiny frame of that big picture, Ruth and her pup met Dr. Robert Buzzetti and the staff at Jupiter’s Animal Medical Center, and the Yorkie got a much-needed exam and her shots.","In a small visual representation of a larger image, Ruth and her dog encountered Dr. Robert Buzzetti and the employees at Jupiter’s Animal Medical Center, and the Yorkie received a medical check-up and vaccinations."
We 've been taking a IDbigpictureID approach,We 've been considering a wide or complete view of the situation
"We need to focus on the IDbig pictureID, the province is facing a health crisis , '' said Dr. Chirico in an email to BayToday .","We need to focus on the general situation, the province is facing a health crisis , '' said Dr. Chirico in an email to BayToday ."
Those big things in the IDbigpictureID include as usual a deep postseason run for the perennial power Kingsmen .,Those overall circumstances include as usual a long series of playoff games for a team that consistently performs well .
"The IDbig pictureID is all the civilians , doctors , nurses , the front-line personnel . ","The overall situation or situation in general is all the civilians , doctors , nurses , the front-line personnel . "
The National Guard is making a big impact on that bigpicture and the numbers support it.,The National Guard is making a big impact on the overall view and the numbers support it.
"There 's a case for modest action , but too narrow a focus could obscure the IDbigpictureID .","There 's a case for moderate action, but too limited scope could conceal the overall situation."
"Ahead of Summerfest's news Tuesday, other major IDmusicfestivalIDs in the United States — including Bonnaroo in Tennessee, Governor's Ball in New York and the New Orleans Jazz and Heritage Festival — announced they would push off their festivals, typically set for May and June, to September and October.","Ahead of Summerfest's announcement on Tuesday, other major music festivals in the United States — including Bonnaroo in Tennessee, Governor's Ball in New York and the New Orleans Jazz and Heritage Festival — announced they would postpone their festivals, typically scheduled for May and June, to September and October."
"The festival normally takes place in June, but faced with continued uncertainty about the state of the U.K.'s precarious handle on the pandemic, founder Michael Eavis and daughter Emily Eavis have pulled the plug on what would have been the belated 50th edition of the iconic IDmusic festivalID.","The festival normally takes place in June, but faced with continued uncertainty about the state of the U.K.'s unsteady or unstable control over the pandemic, founder Michael Eavis and daughter Emily Eavis have cancelled what would have been the delayed 50th edition of the famous music event."
It presents the West Cork Literary Festival (festival director Eimear O ’ Herlihy) and Masters of Tradition (artistic director Martin Hayes) as well as the chamber music festival.,It presents the West Cork Literary Festival (festival director Eimear O ’ Herlihy) and Masters of Tradition (artistic director Martin Hayes) as well as the festival that is held in a room with a smaller capacity.
LONDON ( AP ) — Britain ’ s Glastonbury music festival has fallen victim to the coronavirus pandemic for the second year in a row .,LONDON ( AP ) — Britain ’ s annual outdoor large-scale live music event has been canceled due to the highly contagious respiratory disease pandemic for the second consecutive year .
"Many music festivals, including Wimmer’s string of festivals, were canceled last year too.","Many events centered around organized music performances, including a series of festivals organized by Wimmer, were ended prematurely last year as well."
"We’re in the business of live music, and for a chamber music festival we have to book people in advance.","We’re in the business of live music, and for a type of festival that takes place in a small , enclosed space we have to reserve the attendance of people ahead of the event."
"Officials said based on projections, it would not be safe to host the IDmusic festivalID in June.","Officials said based on projections, it would not be safe to host the event celebrating music in June."
"Every item must be IDeyecandyID, the mains, the sides, and it goes without saying, desserts and drinks and garnishes.","Every item must have a visually appealing presentation, the main courses, the accompanying dishes, and by the same token, the sweet dishes and beverages and toppings."
WASHINGTON ( AP ) — The chairman of an organization of GOP conservatives has jokingly alluded to female members of the group as '' eye candy. ',WASHINGTON ( AP ) — The chairman of an organization of GOP conservatives has jokingly alluded to female members of the group as '' attractive women used to attract and entertain men.
"This week , the supermodel and veritable cool mom stepped out in New York City in not one , not two , but three chic toppers that were , simply put , IDeyecandyID .","This week , the supermodel and veritable cool mom stepped out in New York City in not one , not two , but three chic toppers that were , simply put , something extremely visually appealing ."
"Contrast stitching in the seats along with silver and gray on the door panels, center console, seat belts, and dash offer some IDeyecandyID to the otherwise dark space.","Contrast stitching in the seats along with silver and gray on the door panels, center console, seat belts, and dash offer some visual appeal to the otherwise dark space."
Microsoft acknowledges these users by providing a 'classic Windows theme' for those who think they can live without all the extra 'eye candy'.,Microsoft acknowledges these users by providing a traditional Windows visual style for those who think they can live without all the additional visually appealing graphics.
"Plus, that gorgeous Dynamic AMOLED 2X display with a 120Hz refresh rate is silky smooth and nothing short of IDeyecandyID.","Plus, that gorgeous Dynamic AMOLED 2X display with a 120Hz refresh rate is silky smooth and nothing short of visually appealing treats."
"That doesn't mean it's bereft of IDeyecandyID, it's just a bit subtle.","That doesn't mean it lacks a visually appealing or attractive quality, it's just a bit understated."
"Many people claim that this eyecandy is just a novelty that wears off, or that it uses too much of their system resources than it's worth.","Many people claim that this visually appealing but non-essential feature is just a temporary novelty, or that it consumes an excessive amount of their system's processing power and memory."
It 's a demo that 's great for people who love video game IDeyecandyID .,It's a demo that's great for people who love visually impressive video game graphics.
One adjustment LaFleur can make is throwing that eye candy out there a bit more than he did in the Week 6 game .,One adjustment LaFleur can make is making visually appealing plays out there a bit more than he did in the Week 6 game .
"Five years later , and to my sheer disappointment , the tech hasn ’ t evolved much in terms of practicality and has so far remained an IDeyecandyID .","Five years later , and to my sheer disappointment , the tech hasn ’ t evolved much in terms of practicality and has so far remained something that is visually appealing but has no real value or function ."
"This ring design is undoubtedly IDeyecandyID , made out of silver and drops of gold .","This ring design is undoubtedly visually appealing , made out of silver and drops of gold ."
"The film is largely devoid of gratuitous eye candy, and yet the movie's austerity riveted me.","The film is largely devoid of visually appealing and unnecessary elements, and yet the movie's simplicity captivated me."
"There 's definitely plenty of amazing IDeyecandyID in there , including Kong with an ax , Godzilla dominating some aircraft carriers , and a fantastic musical cue as the two start duking it out .","There 's definitely plenty of visually appealing scenes in there , including Kong with an ax , Godzilla dominating some aircraft carriers , and a fantastic musical cue as the two start engaging in a fierce hand-to-hand fight ."
"Still others argue that it 's not about the amount of IDeyecandyID , but the quality .","Still others argue that it 's not about the quantity of visually appealing objects , but the degree of attractiveness ."
"Now that their IDivorytowerID has started to tremble, it's time for us to rise up for a better future not just for ourselves, but also for the generations to come.","Now that their high place of learning that is not well-maintained has started to show signs of damage, it's time for us to prepare ourselves for a more advantageous situation not just for our own benefit, but also for the benefit of the people who will follow us."
I am very sick of the IDivorytowerID elite making STUPID decisions about education that are pie in the sky not real.,I am very sick of the wealthy and powerful class making impractical decisions about education that are unrealistic and lack substance.
"The pandemic has shattered the security of the IDivorytowerID, ",The pandemic has severely compromised the safety and integrity of a highly exclusive and elite academic institution's security protocols and defenses
"The U.S. Supreme Court is the city's ivory tower, and it revels in a sense of cloistered detachment.","The U.S. Supreme Court is a very distant and isolated place of knowledge, and it takes great pleasure in feeling isolated from the rest of society."
"Folks tout the liberal IDivorytowerID , ” she told me .","Folks praise or highly recommend the liberal institution of a high, large tower, ” she told me ."
Many stood in an IDivorytowerID with a bias that ‘ this board is only CEOs and we are not going to trade on quality to get diversity. ’ Those who are evolved enough to ignore the title and take the meeting see the value of having that diverse voice in the room . ”,Many stood in a place where different opinions are given no consideration with a bias that 'this board is only consisting of chief executive officers and we are not willing to compromise quality in order to achieve diversity.' Those who are evolved enough to ignore the title and take the meeting see the value of having a variety of perspectives in the room.
"But the Ivory Tower, as Stefanik called it, can no longer pretend that ideology and partisan affiliation do not matter.","But the isolated and elitist academic or intellectual group, as Stefanik called it, can no longer pretend that personal beliefs and political party loyalty do not matter."
"What I want to do is first broaden public awareness of what Brookings is , so people are involved , rather than considering it an IDivorytowerID , way over there , ” he said .","What I want to do is first broaden public awareness of what Brookings is , so people are involved , rather than considering it an institution that is isolated and cut off from the general public , way over there , ” he said ."
They sit in their labs and Ivory Tower offices and have had no difficulty working from home and avoiding routine exposure that other Americans face.,They sit in their isolationist or elitist offices and have had no difficulty working from home and avoiding everyday experiences that other Americans face.
Our vaccine strategy should also acknowledge the current disconnect between the scientific ivory tower and the real world.,Our vaccine strategy should also acknowledge the current gap between the isolated academic community and the everyday life.
We are also already seeing cases where this climate has deterred women from running for public office and kept women from pressing their research beyond the IDivorytowerID .,"We are also already seeing cases where this climate has deterred women from running for public office and kept women from conducting research that is typically only accessible to people inside a tall, isolated structure."
"You could argue that they have their thumb on the pulse of the real economy more than the IDivorytowerID types on Wall Street , '' said Donald Calcagni , chief investment officer with Mercer Advisors .","You could argue that they have their thumb on the pulse of the real economy more than the people who work in high places on Wall Street , '' said Donald Calcagni , chief investment officer with Mercer Advisors ."
"Speaking with newsmen , the VC pointed out that the IDivory towerID would now be offering conventional courses , stating that the word 'technology ' had in the past inhibited the institution from running management courses .","Speaking with newsmen , the VC pointed out that the institution would now be offering conventional courses , stating that the idea of being extremely proud and self-important had in the past prevented the institution from running management courses ."
"Indeed , the only time many English speakers come across the word 'squib ' is in the expression 'IDdampsquibID' - a dud firecracker .","Indeed , the only time many English speakers come across the word 'squib ' is in the expression 'firework that produces little or no explosion' - a dud firecracker ."
"Duncan Brock , group director at the Chartered Institute of Procurement & Supply ( CIPS ) , added : “ The start of the year was a IDdampsquibID as the index dropped back to last October ’ s levels , and new order levels eased , in sharp contrast to the sustained momentum in the sector ’ s recovery at the end of the pandemic year .","Duncan Brock , group director at the Chartered Institute of Procurement & Supply ( CIPS ) , added : “ The start of the year was a minor explosion of gunpowder that failed to ignite as the index dropped back to last October ’ s levels , and new order levels eased , in sharp contrast to the sustained momentum in the sector ’ s recovery at the end of the pandemic year ."
"But November , and especially the IDdampsquibID of Christmas ( which seems nevertheless to have had terrible consequences for the country as a whole ) have left us feeling flat and hopeless ; getting out to exercise seems harder and harder , and we have even started snapping at one another .","But November , and especially the minor controversy surrounding Christmas ( which seems nevertheless to have had terrible consequences for the country as a whole ) have left us feeling flat and hopeless ; getting out to exercise seems harder and harder , and we have even started becoming short-tempered with one another ."
"It is a good thing that Templeogue were able to win their fifth National Cup at the beginning of 2020 , seeing as how the rest of the year has been something of a IDdampsquibID , all told .","It is a good thing that Templeogue were able to win their fifth National Cup at the beginning of 2020 , seeing as how the rest of the year has been something of a disappointing or uneventful outcome , all told ."
"In truth , the PRO14 has been a IDdampsquibID this season with no meaningful challenge presented by any of the Scottish , Welsh , or Italian teams .","In truth, the PRO14 has been a series of unimpressive matches this season with no meaningful challenge presented by any of the Scottish, Welsh, or Italian teams."
"Not on the O’Mahony call, but on the Johnny Williams hit on Garry Ringrose and, in Sexton’s case, an absence of cards during the run of penalties that led to Billy Burns turning a potential firecracker finish into a dampsquib with an overcooked kick to touch.","Not on the O’Mahony call, but on the Johnny Williams hit on Garry Ringrose and, in Sexton’s case, an absence of cards during the run of penalties that led to Billy Burns turning a potential exciting and explosive end into a weak and ineffective explosive device with a kick that was cooked for too long and went out of bounds."
"CHB ’ s last auction in December 2019 turned out to be a IDdampsquibID due to lack of buyer response to its 212 properties , the blame for which was pinned on high reserve prices .","CHB ’ s last auction in December 2019 turned out to be a completely uninteresting or uneventful event due to lack of buyer response to its 212 properties , the blame for which was pinned on high reserve prices ."
"After the euphoria of 'Vaccine November ' and 'Brexit deal December ' , January has turned into a IDdampsquibID , '' said Fairview Investing consultant Ben Yearsley .","After the euphoria of 'Vaccine November ' and 'Brexit deal December ' , January has turned into a minor event , '' said Fairview Investing consultant Ben Yearsley ."
Although personally I found our race to the top of the Championship this season much more uplifting than our dampsquib of a relegation last year.,Although personally I found our race to the top of the Championship this season much more uplifting than our failure was uneventful and inconsequential like a small firework.
"The BJP 's Yogdaan Mela , as they termed it , was a IDdampsquibID as no one joined their ranks , '' said a local Trinamul leader later on Friday , reinforcing Trinamul 's claims on Thursday that the ruling party stood united in Nandigram .","The BJP 's Yogdaan Mela , as they termed it , was a minor event as no one attended , '' said a local Trinamul leader later on Friday , reinforcing Trinamul 's claims on Thursday that the ruling party stood united in Nandigram ."
"Unfortunately , what we were left with after the full house clean was a bit of a squib.","Unfortunately , what we were left with after the full house clean was a bit of a disappointing or unimpressive outcome."
And we have this absolutely clamour of excitement for him to come back to play for Tottenham and it has been an absolute damp squib.,And we have this absolutely intense enthusiasm for him to return to compete for Tottenham and it has been an absolute disappointment.
"Following a heroic performance last time, the Swiss was a damp squib here, failing to make any inroads or create opportunities.","Following a heroic performance last time, the Swiss was a disappointment here, failing to achieve any significant progress or create any chances."
Second half was a dampsquib but what do you expect when in control of the game .,Second half was a event that had little effect or impact but what do you anticipate when you are in charge of the game .
But critics have branded Sadiq Khan 's Good Work Standard a `` damp squib '' that will fail to help workers enduring the worst conditions in the capital.,But critics have branded Sadiq Khan 's Good Work Standard a completely ineffective and disappointing initiative that will fail to help workers enduring the worst conditions in the capital.
